index,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,FLAG_MOBIL,work_phone,phone,email,occyp_type,family_size,credit,Decile
99,F,N,N,0,270000,State servant,Secondary / secondary special,Separated,House / apartment,1,0,1,1,Medicine staff,1,2,9
100,F,N,Y,0,135000,Working,Higher education,Married,House / apartment,1,0,0,0,Private service staff,2,2,8
101,F,N,Y,0,81000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Managers,2,1,6
102,F,N,N,1,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,2,8
103,M,Y,N,0,315000,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,2,9
104,M,Y,Y,0,225000,Commercial associate,Higher education,Single / not married,House / apartment,1,0,1,0,Sales staff,1,0,9
105,M,Y,Y,0,135000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,8
106,F,N,N,1,90000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,3,2,7
107,F,Y,N,1,306000,Working,Higher education,Married,House / apartment,1,0,0,0,unemployed,3,1,9
108,F,N,Y,0,153000,Working,Higher education,Single / not married,House / apartment,1,0,1,0,Core staff,1,2,8
109,F,N,Y,0,126000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,High skill tech staff,2,2,8
110,M,Y,Y,0,315000,Commercial associate,Higher education,Married,House / apartment,1,0,0,0,Managers,2,2,9
111,M,Y,Y,1,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,3,2,9
112,F,N,N,0,193500,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,Laborers,1,2,9
113,F,N,Y,2,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Cooking staff,4,1,7
114,M,Y,Y,2,135000,Working,Higher education,Married,House / apartment,1,0,0,1,Managers,4,2,8
115,F,N,N,0,81000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,6
116,F,Y,Y,1,382500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,3,2,9
117,F,N,Y,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,2,2,9
118,F,N,Y,0,112500,Working,Higher education,Married,House / apartment,1,0,1,0,Sales staff,2,2,7
119,F,N,Y,2,144000,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,Cooking staff,4,1,8
120,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,unemployed,1,1,8
121,F,N,N,0,144000,Working,Secondary / secondary special,Married,Municipal apartment,1,1,1,0,Sales staff,2,2,8
122,F,Y,Y,2,283500,State servant,Higher education,Married,House / apartment,1,0,0,0,Core staff,4,2,9
123,F,N,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,High skill tech staff,2,2,9
124,F,Y,Y,2,90000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Accountants,4,2,7
125,M,N,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,2,9
126,F,Y,N,1,175500,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,1,0,0,0,Laborers,2,2,8
127,M,Y,Y,1,360000,Commercial associate,Higher education,Married,House / apartment,1,0,1,1,Laborers,3,2,9
128,F,N,Y,1,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,7
129,M,N,N,1,315000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,2,9
130,F,N,Y,0,297000,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,0,9
131,F,Y,N,0,202500,Commercial associate,Secondary / secondary special,Civil marriage,With parents,1,0,1,0,unemployed,2,0,9
132,F,N,N,0,225000,Commercial associate,Higher education,Married,House / apartment,1,1,1,0,Drivers,2,2,9
133,F,Y,N,1,387000,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,3,2,9
134,F,Y,Y,0,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,unemployed,1,2,8
135,M,Y,N,1,337500,Commercial associate,Higher education,Separated,House / apartment,1,0,1,0,Managers,2,0,9
136,F,N,N,1,225000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Accountants,3,2,9
137,F,Y,Y,1,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,3,2,9
138,F,N,Y,0,54000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,0,4
139,F,Y,N,0,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,8
140,M,Y,Y,1,180000,Working,Higher education,Married,With parents,1,1,0,0,Laborers,3,0,9
141,F,Y,Y,1,112500,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,1,Core staff,3,2,7
142,M,Y,Y,0,360000,Working,Higher education,Married,House / apartment,1,0,1,0,Managers,2,2,9
143,F,Y,Y,0,256500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,1,Core staff,2,2,9
144,F,Y,N,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,9
145,F,Y,N,0,202500,State servant,Secondary / secondary special,Married,House / apartment,1,0,1,0,Medicine staff,2,2,9
146,F,N,N,0,247500,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,1,9
147,F,N,Y,0,157500,Working,Higher education,Married,House / apartment,1,0,0,0,Sales staff,2,1,8
148,M,Y,Y,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,9
149,F,N,Y,2,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,4,1,7
150,F,Y,N,1,157500,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,3,2,8
151,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,2,9
152,F,Y,Y,0,360000,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,0,Medicine staff,1,2,9
153,M,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,1,9
154,F,N,N,0,175500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,unemployed,2,2,8
155,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,7
156,M,N,Y,1,135000,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,Laborers,2,2,8
157,M,N,Y,2,157500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,4,2,8
158,M,N,Y,1,202500,State servant,Higher education,Married,House / apartment,1,0,0,0,Core staff,3,2,9
159,F,N,Y,0,153000,Pensioner,Higher education,Married,House / apartment,1,0,1,0,unemployed,2,1,8
160,F,Y,Y,1,72000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Sales staff,3,2,5
161,M,Y,Y,2,360000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Managers,4,0,9
162,F,N,N,1,540000,Working,Secondary / secondary special,Separated,House / apartment,1,1,0,0,Managers,2,2,9
163,F,N,Y,0,155250,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,8
164,M,Y,Y,0,189000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,1,Security staff,2,1,9
165,F,N,Y,0,139500,State servant,Higher education,Married,House / apartment,1,1,1,0,unemployed,2,1,8
166,F,N,Y,0,495000,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,1,0,unemployed,1,2,9
167,M,Y,N,0,459000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,1,0,Drivers,2,2,9
168,F,N,N,0,157500,Working,Secondary / secondary special,Married,House / apartment,1,1,1,0,unemployed,2,1,8
169,F,N,Y,1,225000,Working,Secondary / secondary special,Separated,House / apartment,1,0,0,0,unemployed,2,1,9
170,M,Y,Y,1,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,1,Core staff,3,2,9
171,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Private service staff,2,0,8
172,M,N,Y,1,135000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,3,1,8
173,F,N,Y,0,189000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,0,9
174,F,N,Y,0,225000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Sales staff,2,2,9
175,M,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,1,7
176,F,Y,N,0,315000,State servant,Higher education,Married,House / apartment,1,1,0,0,Managers,2,2,9
177,F,N,N,0,157500,Commercial associate,Higher education,Single / not married,Rented apartment,1,0,0,0,unemployed,1,1,8
178,M,N,N,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,8
179,M,Y,Y,0,315000,Commercial associate,Secondary / secondary special,Married,Rented apartment,1,0,0,0,Drivers,2,2,9
180,F,Y,Y,0,720000,Commercial associate,Higher education,Separated,House / apartment,1,1,1,0,Managers,1,2,9
181,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,0,7
182,F,N,Y,2,67500,Working,Higher education,Married,House / apartment,1,1,0,0,unemployed,4,0,5
183,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,1,8
184,M,Y,N,0,225000,Working,Secondary / secondary special,Married,Office apartment,1,0,0,1,Drivers,2,2,9
185,F,N,Y,0,180000,Working,Lower secondary,Widow,House / apartment,1,1,1,0,Cleaning staff,1,2,9
186,F,Y,Y,0,216000,Working,Higher education,Married,House / apartment,1,0,0,0,Secretaries,2,2,9
187,F,Y,Y,1,157500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,1,8
188,F,N,N,0,112500,Pensioner,Secondary / secondary special,Widow,House / apartment,1,0,0,0,unemployed,1,0,7
189,F,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,7
190,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,1,0,unemployed,1,0,7
191,F,N,N,0,121500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,2,8
192,F,N,Y,0,135000,Working,Higher education,Married,House / apartment,1,0,0,0,Laborers,2,2,8
193,M,Y,N,0,202500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Security staff,2,0,9
194,M,Y,N,1,252000,State servant,Higher education,Married,House / apartment,1,1,1,0,High skill tech staff,3,1,9
195,F,N,Y,0,202500,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Laborers,2,2,9
196,M,Y,Y,0,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Managers,2,2,9
197,M,N,Y,1,360000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Sales staff,3,2,9
198,F,N,Y,2,225000,State servant,Secondary / secondary special,Married,House / apartment,1,1,0,0,Medicine staff,4,1,9
199,F,N,Y,2,360000,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Sales staff,4,2,9
200,M,Y,Y,0,202500,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,2,1,9
201,F,Y,Y,0,225000,Working,Higher education,Married,House / apartment,1,0,0,0,Core staff,2,1,9
202,F,N,N,0,135000,Working,Higher education,Married,House / apartment,1,1,0,0,Core staff,2,1,8
203,M,Y,Y,0,360000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,2,2,9
204,M,N,N,0,382500,Working,Secondary / secondary special,Married,Municipal apartment,1,1,1,0,Managers,2,1,9
205,F,N,Y,0,171000,Working,Secondary / secondary special,Single / not married,Rented apartment,1,0,0,0,Laborers,1,2,8
206,M,N,N,0,292500,State servant,Secondary / secondary special,Married,House / apartment,1,1,1,0,Core staff,2,1,9
207,F,Y,N,0,144000,Working,Secondary / secondary special,Widow,House / apartment,1,0,0,0,HR staff,1,2,8
208,F,N,N,2,112500,State servant,Higher education,Married,House / apartment,1,0,0,1,Core staff,4,0,7
209,F,N,Y,0,81000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,6
210,F,Y,Y,1,225000,Working,Higher education,Separated,House / apartment,1,0,0,0,Core staff,2,1,9
211,F,N,Y,0,315000,Commercial associate,Higher education,Separated,House / apartment,1,1,1,0,Accountants,1,2,9
212,M,Y,Y,1,427500,Working,Higher education,Married,House / apartment,1,0,0,0,Managers,3,1,9
213,F,N,N,0,78750,Working,Secondary / secondary special,Married,With parents,1,1,0,0,Security staff,2,2,6
214,F,N,N,0,67500,Pensioner,Higher education,Widow,House / apartment,1,0,0,0,unemployed,1,0,5
215,F,N,Y,0,121500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,2,2,8
216,F,N,N,0,144000,Working,Secondary / secondary special,Single / not married,House / apartment,1,1,1,0,Core staff,1,2,8
217,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,1,8
218,F,N,N,0,94500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,0,7
219,F,Y,N,0,562500,Working,Higher education,Married,House / apartment,1,1,0,0,Managers,2,0,9
220,F,N,Y,0,90000,Pensioner,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,unemployed,1,1,7
221,F,N,N,1,72000,Commercial associate,Higher education,Married,House / apartment,1,0,0,1,Accountants,3,2,5
222,M,N,Y,0,144000,Working,Secondary / secondary special,Civil marriage,House / apartment,1,0,0,0,Security staff,2,2,8
223,F,Y,N,0,202500,Commercial associate,Secondary / secondary special,Married,Municipal apartment,1,0,1,0,Accountants,2,2,9
224,F,N,N,0,270000,Working,Higher education,Married,House / apartment,1,1,1,0,Managers,2,2,9
225,M,Y,N,1,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,3,1,9
226,F,Y,Y,2,315000,Commercial associate,Higher education,Married,With parents,1,0,0,0,Managers,4,2,9
227,M,Y,Y,0,180000,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,1,9
228,M,N,Y,0,292500,Commercial associate,Higher education,Single / not married,Rented apartment,1,0,1,0,Sales staff,1,0,9
229,F,N,Y,0,90000,Pensioner,Higher education,Married,House / apartment,1,0,0,0,unemployed,2,2,7
230,F,N,N,0,103500,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Medicine staff,2,2,7
231,F,Y,N,0,67500,Pensioner,Secondary / secondary special,Married,House / apartment,1,0,1,0,unemployed,2,2,5
232,F,Y,Y,0,225000,Working,Higher education,Civil marriage,House / apartment,1,0,0,0,Sales staff,2,0,9
233,M,Y,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,1,0,0,0,unemployed,2,1,7
234,M,Y,Y,0,450000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,1,1,Drivers,2,1,9
235,M,N,Y,0,247500,Commercial associate,Higher education,Civil marriage,House / apartment,1,0,0,0,Core staff,2,1,9
236,M,Y,N,0,247500,Commercial associate,Secondary / secondary special,Married,House / apartment,1,0,0,0,Drivers,2,1,9
237,F,N,N,0,112500,State servant,Secondary / secondary special,Married,House / apartment,1,1,1,0,unemployed,2,2,7
238,M,N,N,0,225000,Working,Secondary / secondary special,Married,House / apartment,1,1,0,0,Laborers,2,2,9
239,F,Y,Y,1,270000,Working,Higher education,Separated,House / apartment,1,0,1,1,Sales staff,2,2,9
240,M,Y,N,0,382500,State servant,Higher education,Married,Office apartment,1,0,0,0,unemployed,2,1,9
241,M,N,N,2,202500,Working,Secondary / secondary special,Married,House / apartment,1,0,1,0,Laborers,4,1,9
242,F,N,N,2,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,1,1,0,0,Accountants,4,2,9
243,F,N,Y,0,112500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Sales staff,1,2,7
244,M,N,N,1,99000,Working,Secondary / secondary special,Single / not married,House / apartment,1,0,0,0,Laborers,2,1,7
245,F,Y,Y,1,157500,State servant,Secondary / secondary special,Married,House / apartment,1,0,0,0,Laborers,3,0,8
246,F,Y,Y,0,202500,Working,Higher education,Married,House / apartment,1,0,0,0,Accountants,2,1,9
